ZS,AS_,VILLAGE,LON,LAT,POPULATION,DEF_TYPE,PROVINCE,OFFICIEL
BOKORO,ELOMBE,ISHO I,18.23532596,-2.7797449,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,Nkili-Nkili,18.30605061,-2.59273694,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,Kebo,18.30013889,-2.609236112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOMO,BOMO I,18.483125,-2.689236112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOMO,BOMO II,18.48138889,-2.692291668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOMO,BENKONKOLE,18.53770833,-2.661736112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOMO,MONGOTAOTUA I,18.51388889,-2.620833335,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOMO,MONGOTAOTUA II,18.51138889,-2.62263889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,BOTEMOLA,18.76881944,-2.604166668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,LOKUMU,18.63986111,-2.644930557,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,ILOMONKITA,18.71997414,-2.630976016,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,ILEE,18.75417889,-2.674103746,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,NGELI,18.6265803,-2.544423122,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,MPESIMO,18.70916667,-2.499097223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,IPOKU,18.68670183,-2.581656948,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOTEMOLA,Ngolosenge,18.93638889,-2.547361112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,LUNA,18.88409722,-2.732152779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,ISAKA,18.81486111,-2.662569446,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,ILOMO,18.83486534,-2.692206731,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,LOLA,18.86092044,-2.701843548,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,BONGA,18.90243055,-2.75888889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,YASSA,18.95476162,-2.782102767,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,BOSUE,18.97227446,-2.757927443,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,MBETE NKOY,19.00798611,-2.806875001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,Bongisa Mabla,18.87138889,-2.782152778,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,Ikeli,18.88131944,-2.779166668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,BOTEKO,18.88493055,-2.777013889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,BOKUNGU,18.80208333,-2.921527779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,DUMA I,18.72527778,-2.944583334,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,MPOMA,18.82372562,-2.844020905,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Bokalo,18.81979166,-2.828541667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Wenge,18.81944444,-2.812916667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Baseki,18.82590278,-2.810694445,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Ipaki,18.83011451,-2.806455319,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Bdapa,18.86329848,-2.789085452,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Lotano,18.851304,-2.799855,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,Ferme Boseki,18.84104166,-2.770208334,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Pompombo-Indigene,18.87902778,-3.090000001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,DUMA II,18.70388889,-2.95201389,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Boliano,18.78590278,-2.925972223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,BOMANGA,18.78027778,-2.931875001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,Libo I,18.79236111,-2.887152779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,VUNA,18.59548611,-2.877847223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,BOKU,18.61715278,-2.874375001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,SANYA,18.49034722,-2.802500001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,Ebele,18.49673611,-2.804166668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,Kolo,18.44136143,-2.815468696,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOMO,BOSA,18.61875,-2.694444446,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,EKOTO,18.68131944,-3.036250001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,IBAKU,18.634375,-2.961736112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,SAPEZA,18.66944444,-2.95763889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,MASSAMBA,18.64493055,-3.007777779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,IKWI,18.66270833,-3.054861112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,MBAIN,18.64486111,-3.02638889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKUNGU,MBANTALE,18.70555555,-3.014722223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,EBEMVU,18.60604166,-3.006666668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,TOLO I,18.58201389,-2.968680557,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO II,TOLO II,18.56736111,-2.962986112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO I,BELEWE,18.57388889,-2.998472223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO II,NADJOKO,18.53416667,-2.929375001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,TOLO II,LUALI PEKE,18.57581572,-2.920608315,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,NDATIENNE,18.59020833,-2.907777778,,VILLAGE,MAI - NDOMBE,oui
BOKORO,VUNA,BELELI,18.58541667,-2.9125,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOTANGIRI,MOTANGIRI,18.47782507,-2.937610459,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOTANGIRI,KESSIE,18.45458333,-2.910069445,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOTANGIRI,FATIMA,18.4504929,-2.89911078,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOTANGIRI,MUNTU CITE,18.43446859,-2.886948212,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,KEMBOLE,18.40638889,-2.809236112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,NSAVAA,18.40423611,-2.807847223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,KINGABWA,18.39777778,-2.802500001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,MPOMBU,18.32616454,-2.76982433,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,KEMPAA,18.31515887,-2.772387295,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,Wenze II,18.29958333,-2.77263889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,MPIANKANI,18.20027778,-2.839444441,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,NSEMAMPUE,18.27076832,-2.962162331,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,ISHO II,18.22316239,-2.773364693,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKORO,KEBEE,18.41248838,-2.874371194,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKORO,NSELE,18.37112006,-2.874655387,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKORO,BOKORO,18.37070029,-2.864936332,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NSANGA NSANGA,Nsanga Nsanga,18.36412108,-2.859653929,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NSANGA NSANGA,LIZIBA,18.35470546,-2.882719851,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NSANGA NSANGA,NGIRI,18.351875,-2.888680556,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NSANGA NSANGA,MONGALI I,18.35570364,-2.875930902,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NSANGA NSANGA,MONGALI II,18.35868055,-2.875972223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NSANGA NSANGA,IKUMA,18.35152778,-2.871736112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,KEMPA,18.41439471,-2.942548532,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,SEKESIRI,18.36786867,-3.00358052,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,MBOON,18.394046,-3.015148,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,MASAKO,18.373016,-2.9632,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,NSEMOKAW,18.39625,-2.975208334,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,MOSEJON,18.29383777,-2.844683048,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,ELOMBE,18.24533956,-2.859200674,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,NKUISHIEN,18.27229167,-2.894791668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,IBEE,18.224375,-2.882916668,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ELOMBE,NTALE,18.20578404,-2.907969402,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,NZAMPIE,18.0775,-2.811527779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,PAY PAY,18.15729167,-2.879097223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,IKOKO,18.11777778,-2.926597222,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,Bokama,18.96743055,-2.557986112,,VILLAGE,MAI - NDOMBE,oui
BOKORO,LUNA,NKATA,18.87555681,-2.778807642,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,SUKULU,18.39192082,-2.745883129,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,GRUM,18.46159722,-2.750902779,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,CDTC Kutu,18.14267903,-2.727335774,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,BOYU,18.10541667,-2.74638889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,Ferme Mbunu,18.02138889,-2.765694445,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ISAKA MBOLE,ISAKA MBOLE,17.95210075,-3.397540092,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,BIEN,18.16645193,-3.43248265,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOKILA,MOKILA,18.248882,-3.412054,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,NSELE,18.32555582,-3.487832707,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CEBU,SEMENDUA MISSION,18.13572201,-3.233357882,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,Cite Semendua,18.11444444,-3.230208333,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,NSONTIN,17.99180031,-3.161109924,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,KEMPIMPI,18.26600129,-3.0566337,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,KEMBA SECTEUR,18.420449,-3.170314,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ISAKA MBOLE,IZANGANI,17.972402,-3.381271,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ISAKA MBOLE,ONANKIE,17.89958333,-3.208819445,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ISAKA MBOLE,MIBIE,17.93381944,-3.231597223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ISAKA MBOLE,MALOO,17.90979167,-3.221666667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,ISAKA MBOLE,Semokfu,17.89833333,-3.298680556,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,IPAY,17.97854167,-3.229027778,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,SEMANA,18.06569444,-3.106666667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,SEKETUA,18.02147862,-3.090347648,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,BOYON,18.04224239,-3.036118467,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,KEBALEBA,18.02945442,-3.012709062,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,BOTSHIE,18.01504024,-2.968195835,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,MUSIDJON,18.17986227,-3.009384487,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,NKUISHIEN,18.19796282,-2.966575481,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOYON,NSEMABWA I ET 2,18.13263889,-3.057638889,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,MBAN,18.01478004,-2.842089891,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,MBWAN,18.03727838,-2.912380228,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,MPUI,18.01451389,-2.894930556,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,MOSHEMINE,18.13166667,-2.859791667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,NDJAMPIE,BOTOKO,18.100625,-2.886041667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,KESE,18.11252,-3.404623,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,NSEDJON,18.08969304,-3.398821513,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,SEKO,18.05043983,-3.376810074,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,MAKAYA,18.02473424,-3.376505188,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,KIMBAMBILI,18.17817353,-3.411662519,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,NSILO,18.209586,-3.395162,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BIEN,Nselenkey,18.15659722,-3.326041667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,BAYONGO I,18.31861111,-3.481666667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,BAYONGO II,18.32270833,-3.478541667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,KIBOMANGO I,18.32,-3.485416667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,KIBOMANGO II,18.32236111,-3.482222223,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,MAVULA I,18.32240017,-3.487729231,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,MAVULA II,18.32611111,-3.484236111,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MAKAW,Kwimengon,18.366782,-3.41058,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOKILA,NSEKESHE,18.38402778,-3.392916667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOKILA,NKOUNG,18.23131944,-3.394305556,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOKILA,NSEMAFUNI,18.259641,-3.418113,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOKILA,BOKWE,18.24701389,-3.394652778,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOKILA,NSEMOKI,18.3493181,-3.329388434,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CEBU,BOMPIA,18.2975,-3.184930556,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CEBU,CDTC Semendua,18.13519589,-3.236571602,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CEBU,Membaw,18.18666667,-3.225833334,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CEBU,Semoki,18.24583333,-3.228958333,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,MPAA,18.010741,-3.267323,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,NSEMAMPIA,18.1738579,-3.150496773,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,NSELEFUNI,18.174429,-3.169233,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,MAZOKO,18.118134,-3.117179,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,KAAKA,18.099146,-3.143679,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,NSEMAKAO,18.13133035,-3.146903811,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,KEBI,18.2096711,-3.070423903,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,Botshuni,18.109651,-3.250705,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,ALIBA A,18.10888889,-3.240555556,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,ALIBA B,18.106875,-3.238541667,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,MPINAJIBA A,18.11729167,-3.235972222,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,MPINAJIBA B,18.11347222,-3.232777778,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,KABILA A,18.12135451,-3.232693807,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEMENDUA CITE,KABILA B,18.11980373,-3.226878588,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,BOKWI,18.37095619,-3.207161074,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,MANGANGA,18.307799,-3.292483,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,LISANGA,18.46244797,-3.088681804,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,KEBINSA,18.49861694,-3.0100127,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,MBAN,18.51702494,-3.03346313,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,NKAW,18.4352262,-3.118619323,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,NSEDJA,18.48842889,-3.05934026,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,LEPAA,18.481605,-3.066141,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,NSHAW,18.44250003,-3.035562281,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,NSITWA,18.27607577,-3.268853548,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,MASHAW,18.330255,-3.139435,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,Kasesie,18.32271853,-3.232775823,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,Selesan,18.33651644,-3.30998393,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,Kelubi,18.362344,-3.166291,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA SECTEUR,Mushie,18.37735578,-3.138011169,,VILLAGE,MAI - NDOMBE,oui
BOKORO,MOTANGIRI,BOMBAY,18.47321311,-2.971674677,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,IBAN,18.308438,-3.00067,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,ELI MOKE,18.237654,-3.092134,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,WANGILE,18.25171125,-3.078285989,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,MAPUO,18.22913712,-3.11222089,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,NSEMPILA,18.309723,-3.087947,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,MBUNKUI,18.269365,-3.026633,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMPIMPI,Selembili,18.2673,-3.00083,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,NSEMOBWA,18.323599,-2.955353,,VILLAGE,MAI - NDOMBE,oui
BOKORO,SEKESIRI,MAZOKO,18.42222222,-2.992569445,,VILLAGE,MAI - NDOMBE,oui
BOKORO,BOKORO,NKOLO,18.37652778,-2.864375001,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,Quartier II,18.41141488,-2.748948762,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KEMBA LELAW,Quartier I,18.41536579,-2.752518608,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,POURQUOI PAS,18.14736111,-2.722083334,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,MATIMBA,18.13845147,-2.721822077,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU CENTRAL,BOBOLIKO,18.14245965,-2.728731606,,VILLAGE,MAI - NDOMBE,oui
BOKORO,KUTU LUMUMBA,GOLF,18.15571571,-2.726057287,,VILLAGE,MAI - NDOMBE,oui
YASA BONGA,BENGI,BENGI,17.75883,-4.466010094,483,CS,KWILU,oui
YASA BONGA,BENGI,BUKANGA,17.75261,-4.401360035,838,VILLAGE,KWILU,oui
YASA BONGA,BENGI,Camp Ecole Mayanda,17.708,-4.472760201,,VILLAGE,KWILU,oui
YASA BONGA,BENGI,Ferme Bangongo,17.75014,-4.437920094,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Bubi,17.76457,-4.428339958,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Bukanga,17.74862,-4.402180195,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Kibay,17.74066,-4.436299801,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Kikoshi,17.78839,-4.495699883,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Kinsiona I/Ferme Kinsiona Ii,17.79669,-4.476759911,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Kinsuka,17.74123,-4.501840115,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Luketi,17.76667,-4.431009769,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Mbwamusengi,17.76008,-4.438839912,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Miyamba,17.67284,-4.476180077,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Ngamuma,17.78717,-4.488130093,,FERME,KWILU,oui
YASA BONGA,BENGI,Ferme Putu,17.68459,-4.481219769,,FERME,KWILU,oui
YASA BONGA,BENGI,KIBAYI,17.72727,-4.416150093,1427,VILLAGE,KWILU,oui
YASA BONGA,BENGI,KINA NGULU,17.72366,-4.472060204,521,VILLAGE,KWILU,oui
YASA BONGA,BENGI,KINDUNDU,17.76699,-4.447000027,358,VILLAGE,KWILU,oui
YASA BONGA,BENGI,KINKWE,17.75657,-4.468589783,151,VILLAGE,KWILU,oui
YASA BONGA,BENGI,KISELEDI,17.71149,-4.472300053,358,VILLAGE,KWILU,oui
YASA BONGA,BENGI,MANIE,17.69586,-4.469230175,1362,PS,KWILU,oui
YASA BONGA,BENGI,MBANZA WAMBA NSEKE,17.81046,-4.4759202,366,VILLAGE,KWILU,oui
YASA BONGA,BENGI,MBAYA,17.74236111,-4.494375001,1016,VILLAGE,KWILU,oui
YASA BONGA,BENGI,MUWELE,17.79166,-4.50797987,443,VILLAGE,KWILU,oui
YASA BONGA,BENGI,Ngawaya,17.75748,-4.420670033,,VILLAGE,KWILU,oui
YASA BONGA,BENGI,POMBO,17.78764,-4.439040184,243,VILLAGE,KWILU,oui
YASA BONGA,BENGI,Pombo II,17.7692,-4.435400009,,VILLAGE,KWILU,oui
YASA BONGA,BILILI,BILILI CENTRE,18.04501,-4.27504015,765,CS,KWILU,oui
YASA BONGA,BILILI,BILILI VILLAGE,18.04024,-4.269050121,798,VILLAGE,KWILU,oui
