LAT,LON,Village,DATETIME,TYPE,TERRITOIRE,SECTEUR,GROUPEMENT,AS_,ZS,DATUM,COORDLATLO,TYPE_GPS,SOURCE_DAT,pVillage,CVillage,NC2009,NC2010,NC2011,tot_cases
-3.01992,16.91551,CS NZINZI,40501.39218,CS,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NZINZI,NZINZI NZINZI,0,0,0,0
-3.02069,16.91018,QUARTIER MBEE I,40501.39218,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER MBEE I,NZINZI QUARTIER MBEE I,0,0,0,0
-3.02152,16.90609,F.BUKUBUKU,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BUKUBUKU,NZINZI FERME BUKUBUKU,0,0,0,0
-3.02032,16.91674,QUARTIER MBEE II,40501.39218,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER MBEE II,NZINZI QUARTIER MBEE II,0,0,0,0
-3.02659,16.92061,PORT SIMON,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT SIMON,NZINZI PORT SIMON,0,0,0,0
-3.027,16.91941,PORT NGELESA,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT NGELESA,NZINZI PORT NGELESA,0,0,0,0
-3.02676,16.91814,PORT KIPEYAYO,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT KIPEYAYO,NZINZI PORT KIPEYAYO,0,0,0,0
-3.0269,16.91457,PORT FUSE,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT FUSE,NZINZI PORT FUSE,0,0,0,0
-3.0273,16.91225,PORT ROY,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT ROY,NZINZI PORT ROY,0,0,0,0
-3.02838,16.90906,PORT FUSE,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT FUSE,NZINZI PORT FUSE,0,0,0,0
-3.02915,16.90781,PORT MANGAMANGA,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT MANGAMANGA,NZINZI PORT MANGAMANGA,0,0,0,0
-3.03055,16.90482,PORT ISP,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT ISP,NZINZI PORT ISP,0,0,0,0
-3.03113,16.90344,PORT JULES,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT JULES,NZINZI PORT JULES,0,0,0,0
-3.03127,16.9005,PORT FERME HUIT CENT,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT FERME HUIT CENT,NZINZI PORT FERME HUIT CENT,0,0,0,0
-3.02554,16.87672,F.ISANKELE,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME ISANKELE,NZINZI FERME ISANKELE,0,0,0,0
-3.01541,16.87565,CAMP RETRAITE KIMBANGUISTE,40501.39218,CAMP,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,CAMP RETRAITE KIMBANGUISTE,NZINZI CAMP RETRAITE KIMBANGUISTE,0,0,0,0
-3.01142,16.87128,PONT MUSHIE,40501.39218,PONT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT MUSHIE,NZINZI PONT MUSHIE,0,0,0,0
-3.00948,16.86822,F.NGENDE,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NGENDE,NZINZI FERME NGENDE,0,0,0,0
-2.99925,16.86255,F.KADEKO,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME KADEKO,NZINZI FERME KADEKO,0,0,0,0
-2.99662,16.86317,F.BRIGADE MBOPLAMUKWA,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BRIGADE MBOPLAMUKWA,NZINZI FERME BRIGADE MBOPLAMUKWA,0,0,0,0
-3.01457,16.8777,PONT MABANGA,40501.39218,PONT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT MABANGA,NZINZI PONT MABANGA,0,0,0,0
-3.01456,16.87791,PONT MAKIMAKI,40501.39218,PONT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT MAKIMAKI,NZINZI PONT MAKIMAKI,0,0,0,0
-3.01509,16.88591,PONT MAKIMAKI,40501.39218,PONT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT MAKIMAKI,NZINZI PONT MAKIMAKI,0,0,0,0
-3.02588,16.8972,F.LOSO,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME LOSO,NZINZI FERME LOSO,0,0,0,0
-3.02651,16.89734,PONT LOSO,40501.39218,PONT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT LOSO,NZINZI PONT LOSO,0,0,0,0
-3.0271,16.89744,PONT LOSO I,40501.39218,PONT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT LOSO I,NZINZI PONT LOSO I,0,0,0,0
-3.02919,16.89299,F.LOSO,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME LOSO,NZINZI FERME LOSO,0,0,0,0
-3.03022,16.90008,F.HUIT CENT,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME HUIT CENT,NZINZI FERME HUIT CENT,0,0,0,0
-3.03068,16.90322,F.JULES,40501.39218,FERME,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME JULES,NZINZI FERME JULES,0,0,0,0
-3.02905,16.90523,ISP,40501.39218,ESU,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,ISP,NZINZI ISP,0,0,0,0
-3.02704,16.91249,PORT,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT,NZINZI PORT,0,0,0,0
-3.02691,16.91315,PORT MANGAMANGA,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT MANGAMANGA,NZINZI PORT MANGAMANGA,0,0,0,0
-3.0267,16.91429,PORT KIPEYAYO,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT KIPEYAYO,NZINZI PORT KIPEYAYO,0,0,0,0
-3.02464,16.91509,QUARTIER BANUNU,40501.39218,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER BANUNU,NZINZI QUARTIER BANUNU,0,0,0,0
-3.02467,16.91555,PS MOBOTO,40501.39218,PS,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PS MOBOTO,NZINZI PS MOBOTO,0,0,0,0
-3.0266,16.91602,PORT SIKATENDE,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT SIKATENDE,NZINZI PORT SIKATENDE,0,0,0,0
-3.02653,16.91713,PORT TANTINE ROSETTE,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT TANTINE ROSETTE,NZINZI PORT TANTINE ROSETTE,0,0,0,0
-3.02633,16.91812,PORT KIPEYAYO,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT KIPEYAYO,NZINZI PORT KIPEYAYO,0,0,0,0
-3.02651,16.91927,PORT CBFC,40501.39218,PORT,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT CBFC,NZINZI PORT CBFC,0,0,0,0
-3.02384,16.92074,CAMP MILITAIRE,40501.39218,CAMP,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,CAMP MILITAIRE,NZINZI CAMP MILITAIRE,0,0,0,0
-3.02003,16.91693,CS NZINZI,40501.39218,CS,MUSHIE,BABOMA NORD,BANUNU,NZINZI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NZINZI,NZINZI NZINZI,0,0,0,0
-3.01553,16.9416,PORT PAC CONGO,40502.39893,PORT,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT PAC CONGO,SACO PORT PAC CONGO,0,0,0,0
-3.01995,16.93243,PONT BARAMOTO,40502.39893,PONT,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT BARAMOTO,SACO PONT BARAMOTO,0,0,0,0
-3.01486,16.92677,EP ELIKYA,40502.39893,EP,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP ELIKYA,SACO EP ELIKYA,0,0,0,0
-3.01572,16.92692,EP MIKUKA,40502.39893,EP,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP MIKUKA,SACO EP MIKUKA,0,0,0,0
-3.01772,16.93169,QUARTIER BANUNU,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER BANUNU,SACO QUARTIER BANUNU,0,0,0,0
-3.01507,16.92929,EP BOLAMU II,40502.39893,EP,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP BOLAMU II,SACO EP BOLAMU II,0,0,0,0
-3.01508,16.92837,EP BOLAMU I,40502.39893,EP,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP BOLAMU I,SACO EP BOLAMU I,0,0,0,0
-3.01392,16.92365,QUARTIER SACO III,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER SACO III,SACO QUARTIER SACO III,0,0,0,0
-3.01329,16.9297,QUARTIER SACO VI,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER SACO VI,SACO QUARTIER SACO VI,0,0,0,0
-3.01696,16.9305,QUARTIER SACO V,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER SACO V,SACO QUARTIER SACO V,0,0,0,0
-3.01863,16.93104,QUARTIER SACO IV,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER SACO IV,SACO QUARTIER SACO IV,0,0,0,0
-3.01712,16.92827,CS SACO,40502.39893,CS,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,SACO,SACO SACO,0,0,0,0
-3.02053,16.92558,HGR MUSHIE,40502.39893,HGR,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,HGR MUSHIE,SACO HGR MUSHIE,0,0,0,0
-3.02053,16.92518,QUARTIER SACO I,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER SACO I,SACO QUARTIER SACO I,0,0,0,0
-3.01887,16.92501,QUARTIER SACO II,40502.39893,QUARTIER,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,QUARTIER SACO II,SACO QUARTIER SACO II,0,0,0,0
-3.01884,16.92502,F.BIBONGO,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BIBONGO,SACO FERME BIBONGO,0,0,0,0
-3.01884,16.92502,F.BAYANZI,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BAYANZI,SACO FERME BAYANZI,0,0,0,0
-2.94245,17.00869,F.BAMBALA,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BAMBALA,SACO FERME BAMBALA,0,0,0,0
-2.94247,17.0094,F.BASAKATA,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BASAKATA,SACO FERME BASAKATA,0,0,0,0
-2.94296,17.01413,F.BAYANZI I,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BAYANZI I,SACO FERME BAYANZI I,0,0,0,0
-2.94889,17.00848,F.ODO,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME ODO,SACO FERME ODO,0,0,0,0
-2.99134,16.99882,VILLAGE NKURU,40502.39893,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NKURU,SACO NKURU,0,0,0,0
-2.95646,16.99545,F.BASENGELE,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BASENGELE,SACO FERME BASENGELE,0,0,0,0
-2.95621,16.99102,F.NOKO CONGO,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NOKO CONGO,SACO FERME NOKO CONGO,0,0,0,0
-2.9915,16.99916,PORT NKURU,40502.39893,PORT,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PORT NKURU,SACO PORT NKURU,0,0,0,0
-2.99801,16.99054,F.BOMPONGO,40502.39893,FERME,MUSHIE,BABOMA NORD,BANUNU,SACO,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BOMPONGO,SACO FERME BOMPONGO,0,0,0,0
-3.04224,16.85035,EP LADI,40503.4213,EP,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,EP LADI,LOBOBI EP LADI,0,0,0,0
-3.04323,16.84838,PS LADI,40503.4213,PS,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PS LADI,LOBOBI PS LADI,0,0,0,0
-3.04321,16.84836,LADI,40503.4213,VILLAGE,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,LADI,LOBOBI LADI,0,0,0,0
-3.04106,16.8442,NGANDA MOUSSA,40503.4213,CAMPEMENT,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NGANDA MOUSSA,LOBOBI NGANDA MOUSSA,0,0,0,0
-3.03727,16.84119,PONT MOSAKARI,40503.4213,PONT,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,PONT MOSAKARI,LOBOBI PONT MOSAKARI,0,0,0,0
-3.00992,16.81757,F.NEO,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME NEO,LOBOBI FERME NEO,0,0,0,0
-2.99569,16.82709,NGANDA SEKA EBEMBE,40503.4213,CAMPEMENT,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NGANDA SEKA EBEMBE,LOBOBI NGANDA SEKA EBEMBE,0,0,0,0
-2.98855,16.82759,F.PA BOSCO,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME PA BOSCO,LOBOBI FERME PA BOSCO,0,0,0,0
-2.98892,16.82589,F.MBAYA,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MBAYA,LOBOBI FERME MBAYA,0,0,0,0
-2.98226,16.83275,F.RUPHIN,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME RUPHIN,LOBOBI FERME RUPHIN,0,0,0,0
-2.98045,16.83203,F.JEAN BABTISTE,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME JEAN BABTISTE,LOBOBI FERME JEAN BABTISTE,0,0,0,0
-2.97865,16.83308,NGANDA MARIE,40503.4213,CAMPEMENT,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NGANDA MARIE,LOBOBI NGANDA MARIE,0,0,0,0
-2.97867,16.83362,F.MOTETELA,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME MOTETELA,LOBOBI FERME MOTETELA,0,0,0,0
-2.97731,16.83435,F.BASAKATA,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME BASAKATA,LOBOBI FERME BASAKATA,0,0,0,0
-2.98174,16.8384,F.AUGUY,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME AUGUY,LOBOBI FERME AUGUY,0,0,0,0
-2.97913,16.83197,NGANDA PA LEKI,40503.4213,CAMPEMENT,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,NGANDA PA LEKI,LOBOBI NGANDA PA LEKI,0,0,0,0
-2.99262,16.82618,F.SALLON,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME SALLON,LOBOBI FERME SALLON,0,0,0,0
-2.98994,16.81879,F.ABOMA JESUS,40503.4213,FERME,MUSHIE,BABOMA NORD,BANUNU,LOBOBI,MUSHIE,WGS 1984,DECIMAL DEGREES,GARMIN GPS 60,PNLTHA-CTB,FERME ABOMA JESUS,LOBOBI FERME ABOMA JESUS,0,0,0,0
